2/1/2009 23:30	-1.00	0.00
2/1/2009 23:40	-1.00	0.00
2/1/2009 23:50	-1.00	0.00
2/2/2009 0:00	-1.10	0.00
2/2/2009 0:10	-1.10	0.00
2/2/2009 0:20	-1.10	0.00
2/2/2009 0:30	-1.20	0.00
2/2/2009 0:40	-1.20	0.00
2/2/2009 0:50	-1.30	0.00
2/2/2009 1:00	-1.30	0.00
2/2/2009 1:10	-1.30	0.00
2/2/2009 1:20	-1.30	0.00
2/2/2009 1:30	-1.30	0.00
2/2/2009 1:40	-1.30	0.00
2/2/2009 1:50	-1.30	0.00
2/2/2009 2:00	-1.30	0.00
2/2/2009 2:10	-1.30	0.00
2/2/2009 2:20	-1.30	0.00
2/2/2009 2:30	-1.30	0.00
2/2/2009 2:40	-1.30	0.00
2/2/2009 2:50	-1.30	0.00
2/2/2009 3:00	-1.40	0.00
2/2/2009 3:10	-1.40	0.00
2/2/2009 3:20	-1.50	0.00
2/2/2009 3:30	-1.60	0.00
2/2/2009 3:40	-1.80	0.00
2/2/2009 3:50	-2.00	0.00
2/2/2009 4:00	-2.00	0.00
2/2/2009 4:10	-1.90	0.00
2/2/2009 4:20	-1.90	0.00
2/2/2009 4:30	-1.90	0.00
2/2/2009 4:40	-2.00	0.00
2/2/2009 4:50	-2.10	0.00
2/2/2009 5:00	-2.30	0.00
2/2/2009 5:10	-2.30	0.00
2/2/2009 5:20	-2.20	0.00
2/2/2009 5:30	-2.20	0.00
2/2/2009 5:40	-2.00	0.00
2/2/2009 5:50	-2.70	0.00
2/2/2009 6:00	-2.40	0.00
2/2/2009 6:10	-2.30	0.00
2/2/2009 6:20	-2.60	0.00
2/2/2009 6:30	-2.40	0.00
2/2/2009 6:40	-2.20	0.00
2/2/2009 6:50	-2.20	0.00
2/2/2009 7:00	-2.40	0.00
2/2/2009 7:10	-2.40	0.00
2/2/2009 7:20	-2.60	0.00
2/2/2009 7:30	-2.40	0.00
2/2/2009 7:40	-2.40	0.40
2/2/2009 7:50	-2.60	2.40
2/2/2009 8:00	-2.30	5.00
2/2/2009 8:10	-1.90	8.80
2/2/2009 8:20	-1.70	9.30
2/2/2009 8:30	-1.60	13.00
2/2/2009 8:40	-1.70	20.10
2/2/2009 8:50	-1.80	42.50
2/2/2009 9:00	-1.50	37.30
2/2/2009 9:10	-1.20	47.70
2/2/2009 9:20	-1.10	45.50
2/2/2009 9:30	-0.90	41.30
2/2/2009 9:40	-0.70	63.70
2/2/2009 9:50	-0.30	66.70
2/2/2009 10:00	-0.40	107.70
2/2/2009 10:10	0.30	250.20
2/2/2009 10:20	1.00	283.90
2/2/2009 10:30	0.90	267.30
2/2/2009 10:40	1.30	339.00
2/2/2009 10:50	1.70	332.20
2/2/2009 11:00	1.90	292.50
2/2/2009 11:10	1.50	266.40
2/2/2009 11:20	1.80	305.30
2/2/2009 11:30	2.30	356.00
2/2/2009 11:40	2.50	250.30
2/2/2009 11:50	3.30	284.70
2/2/2009 12:00	2.50	324.70
2/2/2009 12:10	2.60	354.30
2/2/2009 12:20	2.50	381.20
2/2/2009 12:30	2.60	505.10
2/2/2009 12:40	2.50	329.80
2/2/2009 12:50	2.30	216.90
2/2/2009 13:00	2.30	233.50
2/2/2009 13:10	2.60	340.90
2/2/2009 13:20	2.80	375.00
2/2/2009 13:30	3.70	340.20
2/2/2009 13:40	4.50	303.40
2/2/2009 13:50	4.40	316.40
2/2/2009 14:00	4.30	289.60
2/2/2009 14:10	4.20	240.70
2/2/2009 14:20	4.30	314.50
2/2/2009 14:30	4.30	271.30
2/2/2009 14:40	4.50	266.80
2/2/2009 14:50	4.50	308.80
2/2/2009 15:00	4.40	204.20
2/2/2009 15:10	4.50	236.70
2/2/2009 15:20	4.80	229.70
2/2/2009 15:30	5.00	392.70
2/2/2009 15:40	5.50	364.30
2/2/2009 15:50	5.50	275.00
2/2/2009 16:00	5.40	216.70
2/2/2009 16:10	5.10	169.40
2/2/2009 16:20	4.70	85.70
2/2/2009 16:30	4.10	59.80
2/2/2009 16:40	3.70	65.40
2/2/2009 16:50	3.70	65.80
2/2/2009 17:00	3.70	52.70
2/2/2009 17:10	3.70	41.40
2/2/2009 17:20	3.30	25.50
2/2/2009 17:30	2.80	13.60
2/2/2009 17:40	2.30	6.20
2/2/2009 17:50	2.00	1.90
2/2/2009 18:00	2.10	0.20
2/2/2009 18:10	2.20	0.00
2/2/2009 18:20	3.00	0.00
2/2/2009 18:30	3.20	0.00
2/2/2009 18:40	3.20	0.00
2/2/2009 18:50	3.20	0.00
2/2/2009 19:00	3.40	0.00
2/2/2009 19:10	3.70	0.00
2/2/2009 19:20	3.60	0.00
2/2/2009 19:30	3.60	0.00
2/2/2009 19:40	3.70	0.00
2/2/2009 19:50	3.70	0.00
2/2/2009 20:00	3.60	0.00
2/2/2009 20:10	3.50	0.00
2/2/2009 20:20	3.20	0.00
2/2/2009 20:30	3.00	0.00
2/2/2009 20:40	3.00	0.00
2/2/2009 20:50	3.10	0.00
